3896, Columbus,186291, USA
3897, Orlando,185951, USA
3898, Boise City,185787, USA
3899, Winston-Salem,185776, USA
3900, San Bernardino,185401, USA
3901, Jackson,184256, USA
3902, Little Rock,183133, USA
3903, Salt Lake City,181743, USA
3904, Reno,180480, USA
3905, Newport News,180150, USA
3906, Chandler,176581, USA
3907, Laredo,176576, USA
3908, Henderson,175381, USA
3909, Arlington,174838, USA
3910, Knoxville,173890, USA
3911, Amarillo,173627, USA
3912, Providence,173618, USA
3913, Chula Vista,173556, USA
3914, Worcester,172648, USA
3915, Oxnard,170358, USA
3916, Dayton,166179, USA
3917, Garden Grove,165196, USA
3918, Oceanside,161029, USA
3919, Tempe,158625, USA
3920, Huntsville,158216, USA
3921, Ontario,158007, USA
3922, Chattanooga,155554, USA
3923, Fort Lauderdale,152397, USA
3924, Springfield,152082, USA
3925, Springfield,151580, USA
3926, Santa Clarita,151088, USA
3927, Salinas,151060, USA
3928, Tallahassee,150624, USA
3929, Rockford,150115, USA
3930, Pomona,149473, USA
3931, Metairie,149428, USA
3932, Paterson,149222, USA
3933, Overland Park,149080, USA
3934, Santa Rosa,147595, USA
3935, Syracuse,147306, USA
3936, Kansas City,146866, USA
3937, Hampton,146437, USA
3938, Lakewood,144126, USA
3939, Vancouver,143560, USA
3940, Irvine,143072, USA
3941, Aurora,142990, USA
3942, Moreno Valley,142381, USA
3943, Pasadena,141674, USA
3944, Hayward,140030, USA
3945, Brownsville,139722, USA
3946, Bridgeport,139529, USA
3947, Hollywood,139357, USA
3948, Warren,138247, USA
3949, Torrance,137946, USA
3950, Eugene,137893, USA
3951, Pembroke Pines,137427, USA
3952, Salem,136924, USA
3953, Pasadena,133936, USA
3954, Escondido,133559, USA
3955, Sunnyvale,131760, USA
3956, Savannah,131510, USA
3957, Fontana,128929, USA
3958, Orange,128821, USA
3959, Naperville,128358, USA
3960, Alexandria,128283, USA
3961, Rancho Cucamonga,127743, USA
3962, Grand Prairie,127427, USA
3963, East Los Angeles,126379, USA
3964, Fullerton,126003, USA
3965, Corona,124966, USA
3966, Flint,124943, USA
3967, Paradise,124682, USA
3968, Mesquite,124523, USA
3969, Sterling Heights,124471, USA
3970, Sioux Falls,123975, USA
3971, New Haven,123626, USA
3972, Topeka,122377, USA
3973, Concord,121780, USA
3974, Evansville,121582, USA
3975, Hartford,121578, USA
3976, Fayetteville,121015, USA
3977, Cedar Rapids,120758, USA
3978, Elizabeth,120568, USA
3979, Lansing,119128, USA
3980, Lancaster,118718, USA
3981, Fort Collins,118652, USA
3982, Coral Springs,117549, USA
3983, Stamford,117083, USA
3984, Thousand Oaks,117005, USA
3985, Vallejo,116760, USA
3986, Palmdale,116670, USA
3987, Columbia,116278, USA
3988, El Monte,115965, USA
3989, Abilene,115930, USA
3990, North Las Vegas,115488, USA
3991, Ann Arbor,114024, USA
3992, Beaumont,113866, USA
3993, Waco,113726, USA
3994, Macon,113336, USA
3995, Independence,113288, USA
3996, Peoria,112936, USA
3997, Inglewood,112580, USA
3998, Springfield,111454, USA
3999, Simi Valley,111351, USA
4000, Lafayette,110257, USA
4001, Gilbert,109697, USA
4002, Carrollton,109576, USA
4003, Bellevue,109569, USA
4004, West Valley City,108896, USA
4005, Clarksville,108787, USA
4006, Costa Mesa,108724, USA
4007, Peoria,108364, USA
4008, South Bend,107789, USA
4009, Downey,107323, USA
4010, Waterbury,107271, USA
4011, Manchester,107006, USA
4012, Allentown,106632, USA
4013, McAllen,106414, USA
4014, Joliet,106221, USA
4015, Lowell,105167, USA
4016, Provo,105166, USA
4017, West Covina,105080, USA
4018, Wichita Falls,104197, USA
4019, Erie,103717, USA
4020, Daly City,103621, USA
4021, Citrus Heights,103455, USA
4022, Norwalk,103298, USA
4023, Gary,102746, USA
4024, Berkeley,102743, USA
4025, Santa Clara,102361, USA
4026, Green Bay,102313, USA
4027, Cape Coral,102286, USA
4028, Arvada,102153, USA
4029, Pueblo,102121, USA
4030, Sandy,101853, USA
4031, Athens-Clarke County,101489, USA
4032, Cambridge,101355, USA
4033, Westminster,100940, USA
4034, San Buenaventura,100916, USA
4035, Portsmouth,100565, USA
4036, Livonia,100545, USA
4037, Burbank,100316, USA
4038, Clearwater,99936, USA
4039, Midland,98293, USA
4040, Davenport,98256, USA
4041, Mission Viejo,98049, USA
4042, Miami Beach,97855, USA
4043, Sunrise Manor,95362, USA
4044, New Bedford,94780, USA
4045, El Cajon,94578, USA
4046, Norman,94193, USA
4047, Richmond,94100, USA
4048, Albany,93994, USA
4049, Brockton,93653, USA
4050, Roanoke,93357, USA
4051, Billings,92988, USA
4052, Compton,92864, USA
4053, Gainesville,92291, USA
4054, Fairfield,92256, USA
4055, Arden-Arcade,92040, USA
4056, San Mateo,91799, USA
4057, Visalia,91762, USA
4058, Boulder,91238, USA
4059, Cary,91213, USA
4060, Santa Monica,91084, USA
4061, Fall River,90555, USA
4062, Kenosha,89447, USA
4063, Elgin,89408, USA
4064, Odessa,89293, USA
4065, Carson,89089, USA
4066, Charleston,89063, USA
